Código Dane municipio,Municipio,Año,Área sembrada (ha),Área cosechada (ha),Producción (t),Rendimiento (t/ha)
17013,Aguadas,2022,4059.6,3177.86,3036.19,0.96
17013,Aguadas,2023,4037.99,3189.87,3514.23,1.1
17013,Aguadas,2024,3994.28,2986.83,4066.56,1.36
17042,Anserma,2019,5571.0,4099.0,5427.0,1.32
17042,Anserma,2020,5473.0,3952.0,4837.0,1.22
17042,Anserma,2021,5401.55,3910.38,3558.45,0.91
17042,Anserma,2022,5264.39,4045.6,4757.89,1.18
17042,Anserma,2023,5298.05,4080.67,3673.26,0.9
17042,Anserma,2024,5305.04,3937.98,3899.3,0.99
17050,Aranzazu,2019,1758.0,1379.0,1771.0,1.28
17050,Aranzazu,2020,1739.0,1404.0,333.6,0.24
17050,Aranzazu,2021,1593.36,1283.76,1386.46,1.08
17050,Aranzazu,2022,1581.8,1289.04,1263.2,0.98
17050,Aranzazu,2023,1535.46,1243.74,1355.6,1.09
17050,Aranzazu,2024,1453.65,1141.33,1539.79,1.35
17088,Belalcázar,2019,2890.0,2085.0,2752.0,1.32
17088,Belalcázar,2020,2757.0,2034.0,496.4,0.24
17088,Belalcázar,2021,2600.69,1810.62,1973.58,1.09
17088,Belalcázar,2022,2568.45,1950.93,2272.09,1.16
17088,Belalcázar,2023,2555.32,1962.68,2230.35,1.14
17088,Belalcázar,2024,2505.16,1796.41,2534.75,1.41
17174,Chinchiná,2019,3989.0,2696.0,3626.0,1.34
17174,Chinchiná,2020,3941.0,2899.0,3605.0,1.24
17174,Chinchiná,2021,3769.41,2571.07,2802.47,1.09
17174,Chinchiná,2022,3801.83,2487.43,2539.68,1.02
17174,Chinchiná,2023,3764.33,2332.1,2219.1,0.95
17174,Chinchiná,2024,3666.96,2351.82,2765.36,1.18
17272,Filadelfia,2019,2060.0,1562.0,2045.0,1.31
17272,Filadelfia,2020,2023.0,1549.0,1874.0,1.21
17272,Filadelfia,2021,1946.91,1497.52,1901.85,1.27
17272,Filadelfia,2022,1942.67,1528.17,1763.99,1.15
17272,Filadelfia,2023,1896.13,1487.46,1659.2,1.12
17272,Filadelfia,2024,1893.21,1444.29,2002.14,1.39
17388,La Merced,2019,935.0,694.0,909.0,1.31
17388,La Merced,2020,917.0,671.0,812.0,1.21
17388,La Merced,2021,910.5,666.81,700.15,1.05
17388,La Merced,2022,940.02,713.38,687.46,0.96
17388,La Merced,2023,945.69,743.21,796.68,1.07
17388,La Merced,2024,952.46,733.19,971.01,1.32
17433,Manzanares,2019,3538.0,2865.0,3644.0,1.27
17433,Manzanares,2020,3362.0,2751.0,3235.0,1.18
17433,Manzanares,2021,3200.56,2599.16,2833.08,1.09
17433,Manzanares,2022,3169.85,2547.13,2851.53,1.12
17433,Manzanares,2023,2841.35,2203.84,4070.12,1.85
17433,Manzanares,2024,2869.74,2241.78,5133.2,2.29
17442,Marmato,2019,404.0,338.0,417.0,1.23
17442,Marmato,2020,401.0,332.0,379.0,1.14
17442,Marmato,2021,397.84,334.24,334.24,1.0
17442,Marmato,2022,391.75,342.35,292.83,0.86
17442,Marmato,2023,356.77,299.12,239.51,0.8
17442,Marmato,2024,360.34,283.99,281.2,0.99
17444,Marquetalia,2019,2791.0,2255.0,2926.0,1.3
17444,Marquetalia,2020,2770.0,2327.0,2791.0,1.2
17444,Marquetalia,2021,2756.04,2295.04,2501.59,1.09
17444,Marquetalia,2022,2789.79,2322.55,2080.92,0.9
17444,Marquetalia,2023,2746.03,2278.91,2168.92,0.95
17444,Marquetalia,2024,2747.15,2199.53,2586.29,1.18
17446,Marulanda,2019,226.0,187.0,235.0,1.26
17446,Marulanda,2020,201.0,154.0,180.0,1.17
17446,Marulanda,2021,179.92,135.6,123.4,0.91
17446,Marulanda,2022,173.61,143.56,135.09,0.94
17446,Marulanda,2023,171.71,149.41,118.01,0.79
17446,Marulanda,2024,166.86,137.12,134.07,0.98
17486,Neira,2019,3201.0,2431.0,3166.0,1.3
17486,Neira,2020,2544.0,2544.0,4324.8,1.7
17486,Neira,2021,2579.65,1839.0,2464.26,1.34
17486,Neira,2022,2625.64,1956.56,2715.21,1.39
17486,Neira,2023,2639.68,1952.67,3153.34,1.61
17486,Neira,2024,2637.09,1879.01,3744.38,1.99
17513,Pácora,2019,3424.0,2398.0,3218.0,1.34
17513,Pácora,2020,3328.0,2382.0,1477.5,0.62
17513,Pácora,2021,3198.95,2267.93,1859.7,0.82
17513,Pácora,2022,3180.94,2360.12,2173.81,0.92
17513,Pácora,2023,3117.62,2342.47,2495.67,1.07
17513,Pácora,2024,3068.95,2231.35,2955.12,1.32
17524,Palestina,2019,3013.0,3013.0,3916.9,1.3
17524,Palestina,2020,2777.0,1878.0,2354.0,1.25
17524,Palestina,2021,2642.39,1638.46,1867.84,1.14
17524,Palestina,2022,2611.9,1527.04,1602.49,1.05
17524,Palestina,2023,2543.33,1474.24,1469.75,1.0
17524,Palestina,2024,2490.93,1497.24,1111.9,0.74
17541,Pensilvania,2019,3886.0,3346.0,4195.0,1.25
17541,Pensilvania,2020,3784.0,3300.0,3825.0,1.16
17541,Pensilvania,2021,3636.17,3152.58,3058.0,0.97
17541,Pensilvania,2022,3595.18,3082.05,2730.35,0.89
17541,Pensilvania,2023,3551.98,3042.56,2742.98,0.9
17541,Pensilvania,2024,3504.11,2951.34,3287.66,1.11
17614,Riosucio,2019,2867.0,2335.0,2989.0,1.28
17614,Riosucio,2020,2846.0,2315.0,2740.0,1.18
17614,Riosucio,2021,2832.14,2275.27,2593.81,1.14
17614,Riosucio,2022,2864.33,2317.22,1216.29,0.52
17614,Riosucio,2023,2821.01,2285.65,1755.3,0.77
17614,Riosucio,2024,2733.13,2156.61,1868.51,0.87
17616,Risaralda,2019,2939.0,2076.0,2796.0,1.35
17616,Risaralda,2020,2700.0,1907.0,2375.0,1.25
17616,Risaralda,2021,2649.94,1818.71,1982.39,1.09
17616,Risaralda,2022,2625.33,1903.41,2382.85,1.25
17616,Risaralda,2023,2601.9,1908.53,2734.01,1.43
17616,Risaralda,2024,2566.64,1770.85,2958.97,1.67
17653,Salamina,2019,2258.0,1766.0,1146.5,0.65
17653,Salamina,2020,2230.0,1721.0,2066.0,1.2
17653,Salamina,2021,2192.33,1716.97,1716.97,1.0
17653,Salamina,2022,2206.02,1771.64,1563.94,0.88
17653,Salamina,2023,2216.19,1792.66,1912.53,1.07
17653,Salamina,2024,2234.82,1753.45,2322.21,1.32
17662,Samaná,2019,2819.0,2348.0,2987.0,1.27
17662,Samaná,2020,2867.0,2430.0,2858.0,1.18
17662,Samaná,2021,2908.49,2464.72,2612.6,1.06
17662,Samaná,2022,2905.23,2432.48,2070.95,0.85
17662,Samaná,2023,2883.15,2437.63,2147.62,0.88
17662,Samaná,2024,2864.99,2371.16,2582.66,1.09
17665,San José,2019,1666.0,1236.0,1647.0,1.33
17665,San José,2020,1639.0,1214.0,1496.0,1.23
17665,San José,2021,1617.17,1164.86,1269.7,1.09
17665,San José,2022,1598.11,1195.9,1318.22,1.1
17665,San José,2023,1586.3,1203.72,1045.8,0.87
17665,San José,2024,1584.6,1143.2,615.51,0.54
17777,Supía,2019,1481.0,1192.0,1544.0,1.3
17777,Supía,2020,1453.0,1173.0,702.0,0.6
17777,Supía,2021,1418.3,1125.29,1125.29,1.0
17777,Supía,2022,1424.72,1149.68,1070.87,0.93
17777,Supía,2023,1371.86,1088.1,977.14,0.9
17777,Supía,2024,1351.45,1048.89,1168.41,1.11
17867,Victoria,2019,104.0,81.0,107.0,1.32
17867,Victoria,2020,98.0,80.0,99.0,1.24
17867,Victoria,2021,86.35,72.57,100.15,1.38
17867,Victoria,2022,94.63,71.22,84.76,1.19
17867,Victoria,2023,97.32,68.98,82.87,1.2
17867,Victoria,2024,103.57,79.7,118.38,1.49
17873,Villamaría,2019,1614.0,1212.0,1553.0,1.28
17873,Villamaría,2020,1550.0,1182.0,700.0,0.59
17873,Villamaría,2021,1510.48,1151.22,1047.61,0.91
17873,Villamaría,2022,1516.26,1192.04,1037.83,0.87
17873,Villamaría,2023,1491.74,1194.51,906.91,0.76
17873,Villamaría,2024,1470.5,1127.44,1102.42,0.98
17877,Viterbo,2019,447.0,351.0,456.0,1.3
17877,Viterbo,2020,441.0,353.0,424.0,1.2
17877,Viterbo,2021,449.69,350.97,477.32,1.36
17877,Viterbo,2022,360.73,265.15,497.98,1.88
17877,Viterbo,2023,350.96,261.1,465.32,1.78
17877,Viterbo,2024,333.99,246.92,544.0,2.2
